orden_categoria,categoria,categoria_en,categoria_nota,categoria_nota_en,subcategoria,subcategoria_en,orden,nombre,nombre_en,precio,descripcion,descripcion_en,alergenos,publicar
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,160,Matcha Orange,Matcha Orange,"3,60 / 4,10 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,170,Matcha Latte Vainilla,Matcha Latte Vanilla,"3,60 / 4,10 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,180,Matcha Latte,Matcha Latte,"2,80 / 3,60 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,190,Matcha Chocolate,Matcha Chocolate,"3,50 / 4,10 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,200,Chai Latte,Chai Latte,"2,80 / 3,60 €",,,,si
100,Bebidas,Drinks,,,,,10,Blue Protein,Blue Protein,"8,90 €","Plátano, fresa, espirulina y proteína vegetal.","Banana, strawberry, spirulina and plant-based protein.",,si
100,Bebidas,Drinks,,,,,20,Colada Jungle,Colada Jungle,"4,50 €","Plátano, piña y coco.","Banana, pineapple and coconut.",,si
100,Bebidas,Drinks,,,,,30,Greenpower,Greenpower,"4,50 €","Piña, espinaca, pepino y col rizada.","Pineapple, spinach, cucumber and kale.",,si
100,Bebidas,Drinks,,,,,40,Vitality,Vitality,"4,50 €",Plátano y fresa.,Banana and strawberry.,,si
100,Bebidas,Drinks,,,,,50,Squeeze Nature,Squeeze Nature,"5,80 €","Remolacha, zumo natural, zanahoria y jengibre.","Beetroot, fresh juice, carrot and ginger.",,si
100,Bebidas,Drinks,,,,,60,Delightfull,Delightfull,"4,50 €","Açaí, mango, plátano y arándanos.","Açaí, mango, banana and blueberries.",,si
100,Bebidas,Drinks,,,,,70,Berries Paradise,Berry Paradise,"4,50 €","Fresa, arándanos, cereza y mango.","Strawberry, blueberries, cherry and mango.",,si
100,Bebidas,Drinks,,,Zumos y refrescos,Juices & soft drinks,10,Zumo de naranja natural,Fresh Orange Juice,"3,50 / 4,90 €",,,,si
100,Bebidas,Drinks,,,Zumos y refrescos,Juices & soft drinks,20,Limonada casera,Homemade Lemonade,"3,50 / 4,90 €",,,,si
100,Bebidas,Drinks,,,Zumos y refrescos,Juices & soft drinks,30,Agua sin gas,Still Water,"2,00 €",,,,si
100,Bebidas,Drinks,,,Zumos y refrescos,Juices & soft drinks,40,Agua con gas,Sparkling Water,"2,30 €",,,,si
100,Bebidas,Drinks,,,Zumos y refrescos,Juices & soft drinks,50,Refresco cola,Cola,"3,30 €",,,,si
100,Bebidas,Drinks,,,Zumos y refrescos,Juices & soft drinks,60,Kombucha (jengibre / berries / menta),Kombucha (ginger / berries / mint),"4,50 €",,,,si
100,Bebidas,Drinks,,,Zumos y refrescos,Juices & soft drinks,70,Tónica,Tonic Water,"3,50 €",,,,si
100,Bebidas,Drinks,,,Zumos y refrescos,Juices & soft drinks,80,Cerveza 1/3 especial,Beer 1/3 Special,"3,60 €",,,,si
100,Bebidas,Drinks,,,Zumos y refrescos,Juices & soft drinks,90,Copa de Chardonnay,Glass of Chardonnay,"4,50 €",,,,si
100,Bebidas,Drinks,,,Zumos y refrescos,Juices & soft drinks,100,Copa de Malbec,Glass of Malbec,"4,50 €",,,,si
100,Bebidas,Drinks,,,Zumos y refrescos,Juices & soft drinks,110,Vermut rojo / blanco,Red or White Vermouth,"3,90 €",,,,si
100,Bebidas,Drinks,,,Zumos y refrescos,Juices & soft drinks,120,Cava Codorníu 200 ml,Cava Codorníu 200 ml,"6,90 €",,,,si
100,Bebidas,Drinks,,,Zumos y refrescos,Juices & soft drinks,130,Mimosa (cava y zumo de naranja),Mimosa (cava and orange juice),"6,90 €",,,,si
